created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Wed Aug 02 08:18:26 +0000 2023;1686652665114374144;"Kepada seluruh pelaku batik Indonesia, saya berharap dapat memanfaatkan sebaik-baiknya momentum kebangkitan ekonomi Indonesia dengan terus mengembangkan batik yang kita miliki, mengeksplorasi desain, motif, dan warna agar batik semakin beragam dan menarik. https://t.co/lkvmAtiLjm";0;6;75;428;in;366987179;1686652618008068096;jokowi;https://twitter.com/jokowi/status/1686652665114374144
Wed Aug 02 08:18:18 +0000 2023;1686652633107578885;"Batik sangat istimewa, indah, dan sarat makna dan filosofi.  Batik juga telah menciptakan banyak lapangan kerja hingga memberikan penghasilan serta kehidupan bagi jutaan rakyat Indonesia. Nilai dan perputaran dari industri batik di Tanah Air juga terus meningkat. https://t.co/WqzJbNqxqL";1;13;78;456;in;366987179;1686652618008068096;jokowi;https://twitter.com/jokowi/status/1686652633107578885
Wed Aug 02 08:18:15 +0000 2023;1686652618008068096;"Membuka Gelaran Batik Nusantara hari ini dengan apresiasi kepada para pelaku batik di seluruh Tanah Air. Mereka adalah para pengrajin, desainer, pengusaha, juga pecinta dan pemakai batik yang berkreasi menciptakan, memproduksi, dan menggunakan batik sebagai karya adiluhur bangsa. https://t.co/d0vpqDr7bY";6;110;450;2838;in;366987179;1686652618008068096;jokowi;https://twitter.com/jokowi/status/1686652618008068096
Wed Aug 02 02:10:06 +0000 2023;1686559971025313793;"Salah satu yang patut kita syukuri di tahun ini adalah situasi ekonomi pascapandemi Covid-19 yang dapat terkendali dan kembali pulih berkat kerja keras dan gotong royong seluruh rakyat. Maka, semalam di halaman Istana Merdeka, kita menggelar acara Zikir dan Doa Kebangsaan,… https://t.co/bbTkQgNbbG";45;403;807;6005;in;366987179;1686559971025313793;jokowi;https://twitter.com/jokowi/status/1686559971025313793
Tue Aug 01 04:04:08 +0000 2023;1686226282202443776;"Karena itulah, program hilirisasi ini jangan berhenti pada industri mineral saja, tetapi juga pada sektor lainnya. Untuk itu, saat menghadiri pengurus Asosiasi Pengusaha Indonesia (Apindo) 2023-2028 semalam, saya mengajak para pengusaha untuk turut mendukung program hilirisasi. https://t.co/xvS7hkhidH";0;32;76;438;in;366987179;1686226155928764422;jokowi;https://twitter.com/jokowi/status/1686226282202443776
Tue Aug 01 04:03:51 +0000 2023;1686226210601463808;"Hilirisasi juga memberikan dampak positif pada pertumbuhan ekonomi daerah yang kemudian berpengaruh terhadap pertumbuhan ekonomi secara nasional.   Pertumbuhan ekonomi Maluku Utara yang sebelumnya rata-rata 5,7%, setelah hilirisasi jadi 23%.  Dan berbagai dampak positif lainnya. https://t.co/NWo9dNxDiC";3;29;86;503;in;366987179;1686226155928764422;jokowi;https://twitter.com/jokowi/status/1686226210601463808
Tue Aug 01 04:03:44 +0000 2023;1686226181589504001;"Hilirisasi juga memberikan kontribusi besar pada pendapatan negara.   Dulu, tahun 2014 sampai 2015, pemerintah menghasilkan kurang lebih Rp31 triliun dari ekspor bahan mentah. Setelah hilirisasi, menjadi Rp510 triliun. https://t.co/YXqMmiknhx";4;20;69;291;in;366987179;1686226155928764422;jokowi;https://twitter.com/jokowi/status/1686226181589504001
Tue Aug 01 04:03:38 +0000 2023;1686226155928764422;"Hilirisasi telah menciptakan sejumlah dampak positif bagi perekonomian Indonesia.   Di Sulawesi Tengah, sebelum hilirisasi nikel, pengolahan nikel mempekerjakan hanya 1.800 tenaga kerja. Setelah hilirisasi, industri ini menyerap 71.500 tenaga kerja! https://t.co/oaa1wtDgGp";46;388;642;3429;in;366987179;1686226155928764422;jokowi;https://twitter.com/jokowi/status/1686226155928764422
Mon Jul 31 10:51:25 +0000 2023;1685966389516111872;"Selesai sudah pembangunan Sodetan Ciliwung di Jakarta, setelah dikerjakan selama hampir 11 tahun. Hari ini, salah satu infrastruktur pendukung untuk penanganan banjir di DKI Jakarta itu saya resmikan dari lokasi inlet di Jl. Otista. https://t.co/Be0amkXoiV";42;230;696;4457;in;366987179;1685966389516111872;jokowi;https://twitter.com/jokowi/status/1685966389516111872
Mon Jul 31 08:30:34 +0000 2023;1685930943490797568;"Saya memantau masalah kelaparan di wilayah Papua Tengah beberapa waktu terakhir. Masalah ini dipicu oleh beberapa hal, utamanya cuaca ekstrem di distrik di daerah tinggi. Dalam cuaca ekstrem, tanaman tidak bisa tumbuh sehingga masyarakat kesulitan mendapatkan bahan makanan.… https://t.co/Q1zY13GanT";58;659;703;5448;in;366987179;1685930943490797568;jokowi;https://twitter.com/jokowi/status/1685930943490797568
